Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
Barbell Hack Squat,Strength,Legs,Squat,Intermediate,Barbell,"Perform squats with the barbell behind your legs, focusing on quadriceps.",Use different grips for variation.,Keep your back straight and knees behind toes.,Build leg strength and size.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Barbell Walking Lunge,Strength,Legs,Lunge,Intermediate,Barbell,"Step forward into a lunge with each leg, holding a barbell across your shoulders.",Use different weights for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Body Weight Lunge,Strength,Legs,Lunge,Beginner,,"Step forward into a lunge with each leg, using bodyweight only.",Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Bodyweight Leg Curl,Strength,Legs,Curl,Intermediate,,"Lie on the floor and curl your legs up, focusing on hamstrings.",Use a stability ball for variation.,Keep your back flat on the floor.,Build hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Box Squat,Strength,Legs,Squat,Intermediate,Box or Bench,"Perform squats to a box or bench, focusing on depth and control.",Adjust box height for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Bulgarian Split Squat,Strength,Legs,Lunge,Intermediate,Bench,Step one leg back onto a bench and perform a lunge.,Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Chair Squat,Strength,Legs,Squat,Beginner,Chair,"Perform squats to a chair, focusing on depth and control.",Adjust chair height for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Goblet Squat,Strength,Legs,Squat,Beginner,Dumbbell or Kettlebell,Hold a dumbbell or kettlebell close to your chest and perform a squat.,Use different weights for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Hack Squat Machine,Strength,Legs,Squat,Intermediate,Hack Squat Machine,"Perform squats using a hack squat machine, focusing on quadriceps.",Adjust machine settings for variation.,Keep your back straight and knees behind toes.,Build leg strength and size.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Half Air Squat,Strength,Legs,Squat,Beginner,,"Perform bodyweight squats to half depth, focusing on control.",Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Warm-up,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Jumping Lunge,Cardio,Legs,Lunge,Intermediate,,"Perform lunges with a jump between each rep, focusing on power.",Use different weights for variation.,Keep your back straight and knees behind toes.,Build leg strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Landmine Hack Squat,Strength,Legs,Squat,Intermediate,Landmine,"Perform squats using a landmine setup, focusing on quadriceps.",Adjust weight for variation.,Keep your back straight and knees behind toes.,Build leg strength and size.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Leg Curl On Ball,Strength,Legs,Curl,Intermediate,Stability Ball,Lie on the floor and curl your legs up using a stability ball.,Adjust ball size for variation.,Keep your back flat on the floor.,Build hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Lying Leg Curl,Strength,Legs,Curl,Intermediate,Machine,"Lie on a machine and curl your legs up, focusing on hamstrings.",Adjust seat height for variation.,Keep your back flat on the machine.,Build hamstring strength.,Controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Nordic Hamstring Eccentric,Strength,Legs,Curl,Advanced,,"Perform a controlled descent to the floor, focusing on hamstrings.",Use assistance bands if needed.,Keep your back straight.,Build hamstring strength and control.,Slow and controlled.,Main workout,Strength,Hamstrings,Glutes,Quadriceps,"Core, Lower Back"
Pause Squat,Strength,Legs,Squat,Intermediate,Barbell,"Perform squats with a pause at the bottom, focusing on control.",Adjust weight for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Reverse Barbell Lunge,Strength,Legs,Lunge,Intermediate,Barbell,"Step back into a lunge with each leg, holding a barbell across your shoulders.",Use different weights for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Safety Bar Squat,Strength,Legs,Squat,Intermediate,Safety Bar,"Perform squats using a safety bar, focusing on control and stability.",Adjust weight for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Shallow Body Weight Lunge,Strength,Legs,Lunge,Beginner,,"Step forward into a shallow lunge with each leg, using bodyweight only.",Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Warm-up,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Side Lunges (Bodyweight),Strength,Legs,Lunge,Beginner,,"Step to the side into a lunge with each leg, using bodyweight only.",Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Smith Machine Squat,Strength,Legs,Squat,Intermediate,Smith Machine,"Perform squats using a Smith machine, focusing on control and depth.",Adjust machine settings for variation.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Step Up,Strength,Legs,Step,Beginner,Bench or Step,"Step up onto a bench or step with each leg, focusing on control.",Hold weights for added intensity.,Keep your back straight and knees behind toes.,Build leg strength and stability.,Controlled.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Assisted Chin-Up,Strength,Back,Pull,Intermediate,Assistance Bands,Perform chin-ups with assistance bands for support.,Adjust band tension for variation.,Keep your body straight.,Build back and arm strength.,Controlled.,Main workout,Strength,"Biceps, Latissimus Dorsi",Forearms,Triceps,"Core, Scapular Stabilizers"
Assisted Pull-Up,Strength,Back,Pull,Intermediate,Assistance Bands,Perform pull-ups with assistance bands for support.,Adjust band tension for variation.,Keep your body straight.,Build back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Triceps,"Core, Scapular Stabilizers"
Back Extension,Strength,Back,Extension,Intermediate,Back Extension Machine,Perform back extensions on a back extension machine.,Adjust machine settings for variation.,Keep your back straight and core engaged.,Build lower back strength.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back"
Banded Muscle-Up,Strength,Full Body,Compound,Advanced,Assistance Bands,Perform muscle-ups with assistance bands for support.,Adjust band tension for variation.,Keep your body straight and core engaged.,Build full body strength and coordination.,Explosive.,Main workout,Strength,"Latissimus Dorsi, Pectorals","Biceps, Triceps",,"Core, Scapular Stabilizers"
Barbell Row,Strength,Back,Pull,Intermediate,Barbell,Row the barbell to your lower chest from a bent-over position.,Use different grips for variation.,Keep your back straight and core engaged.,Build upper back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Lower Back"
Block Clean,Strength,Full Body,Pull,Advanced,Barbell,"Perform cleans from blocks, focusing on the pull phase.",Use different block heights for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Block Snatch,Strength,Full Body,Pull,Advanced,Barbell,"Perform snatches from blocks, focusing on the pull phase.",Use different block heights for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Cable Close Grip Seated Row,Strength,Back,Pull,Intermediate,Cable Machine,Row the cable to your lower chest from a seated position with a close grip.,Adjust cable height for variation.,Keep your back straight and core engaged.,Build upper back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Cable Wide Grip Seated Row,Strength,Back,Pull,Intermediate,Cable Machine,Row the cable to your lower chest from a seated position with a wide grip.,Adjust cable height for variation.,Keep your back straight and core engaged.,Build upper back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Chin-Up,Strength,Back,Pull,Intermediate,,Perform chin-ups with palms facing towards you.,Adjust hand position for variation.,Keep your body straight and core engaged.,Build back and arm strength.,Controlled.,Main workout,Strength,"Biceps, Latissimus Dorsi",Forearms,Triceps,"Core, Scapular Stabilizers"
Clean,Strength,Full Body,Pull,Advanced,Barbell,"Perform a clean, lifting the barbell from the floor to your shoulders.",Use different grips for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Clean and Jerk,Strength,Full Body,Compound,Advanced,Barbell,"Perform a clean and jerk, lifting the barbell from the floor to overhead.",Use different grips for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Deficit Deadlift,Strength,Full Body,Pull,Advanced,Barbell,"Perform deadlifts from a deficit, standing on a platform.",Use different grips for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Controlled.,Main workout,Strength,Hamstrings,"Glutes, Erector Spinae",Quadriceps,"Core, Lower Back"
Floor Back Extension,Strength,Back,Extension,Beginner,,"Lie on the floor and lift your chest and legs off the ground, focusing on lower back.",Use different hand positions for variation.,Keep your back straight and core engaged.,Build lower back strength.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back"
Hang Clean,Strength,Full Body,Pull,Advanced,Barbell,"Perform cleans from a hang position, focusing on the pull phase.",Use different grips for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Hang Power Clean,Strength,Full Body,Pull,Advanced,Barbell,"Perform power cleans from a hang position, focusing on the pull phase.",Use different grips for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Hang Power Snatch,Strength,Full Body,Pull,Advanced,Barbell,"Perform power snatches from a hang position, focusing on the pull phase.",Use different grips for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Hang Snatch,Strength,Full Body,Pull,Advanced,Barbell,"Perform snatches from a hang position, focusing on the pull phase.",Use different grips for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Inverted Row with Underhand Grip,Strength,Back,Pull,Intermediate,Bar,"Perform inverted rows with an underhand grip, focusing on upper back.",Adjust hand position for variation.,Keep your body straight and core engaged.,Build upper back and arm strength.,Controlled.,Main workout,Strength,Latissimus Dorsi,"Biceps, Forearms",Pectorals,"Core, Scapular Stabilizers"
Jefferson Curl,Strength,Back,Flexion,Intermediate,Barbell,"Perform curls with the barbell, focusing on lower back flexion.",Use different weights for variation.,Keep your back straight and core engaged.,Build lower back strength and flexibility.,Controlled.,Main workout,Strength,Erector Spinae,"Glutes, Hamstrings",Rectus Abdominis,"Core, Lower Back"
Jumping Muscle-Up,Strength,Full Body,Compound,Advanced,,Perform muscle-ups with a jump for added power and height.,Adjust hand position for variation.,Keep your body straight and core engaged.,Build full body strength and coordination.,Explosive.,Main workout,Power,"Latissimus Dorsi, Pectorals","Biceps, Triceps",,"Core, Scapular Stabilizers"
Kettlebell Swing,Strength,Full Body,Swing,Intermediate,Kettlebell,"Swing the kettlebell between your legs and up to shoulder height, focusing on hip drive.",Use different weights for variation.,Keep your back straight and core engaged.,Build full body strength and power.,Explosive.,Main workout,Power,Glutes,"Hamstrings, Quadriceps",Hip Flexors,"Core, Lower Back"
